account_code,parent_code,level,depth,l1_code,l2_code,l3_code,l4_code,l5_code,name_zh_tw,name_en,l1_category,dealer_category,tax_treatment,moea_code,moea_name_zh,is_postable,normal_balance,default_enabled,is_locked,required_dimensions,ai_tags,benchmark_enabled,template_packs,description,display_order
1,,L1_CATEGORY,1,1,,,,,資產,,ASSET,GENERAL,NORMAL,,,FALSE,D,TRUE,TRUE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",L1：資產類,1
11,1,L2_SUBCATEGORY,2,1,11,,,,流動資產,,ASSET,GENERAL,NORMAL,,,FALSE,D,TRUE,TRUE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",L2：流動資產,2
1101,11,L3_MOEA,3,1,11,1101,,,現金,,ASSET,GENERAL,NORMAL,1101,現金,FALSE,D,TRUE,TRUE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",MOEA 1101,3
11011,1101,L4_PARENT,4,1,11,1101,11011,,庫存現金,,ASSET,GENERAL,NORMAL,1101,現金,FALSE,D,TRUE,FALSE,"[""STORE""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",母科：依門市/部門分子科,4
1101101,11011,L5_DETAIL,5,1,11,1101,11011,1101101,現金－總公司,,ASSET,GENERAL,NORMAL,1101,現金,TRUE,D,TRUE,FALSE,"[""STORE""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",可擴充：依門市分,5
1101102,11011,L5_DETAIL,5,1,11,1101,11011,1101102,現金－展示中心,,ASSET,GENERAL,NORMAL,1101,現金,TRUE,D,TRUE,FALSE,"[""STORE""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,6
1101103,11011,L5_DETAIL,5,1,11,1101,11011,1101103,現金－維修廠,,ASSET,GENERAL,NORMAL,1101,現金,TRUE,D,TRUE,FALSE,"[""STORE""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,7
1101104,11011,L5_DETAIL,5,1,11,1101,11011,1101104,現金－中古車部,,ASSET,GENERAL,NORMAL,1101,現金,TRUE,D,FALSE,FALSE,"[""STORE""]",{},FALSE,"[""MIXED""]",業態二開,8
1101105,11011,L5_DETAIL,5,1,11,1101,11011,1101105,現金－零件部,,ASSET,PARTS,NORMAL,1101,現金,TRUE,D,FALSE,FALSE,"[""STORE""]","{""profit_attribution"": ""parts_margin""}",FALSE,"[""MIXED""]",,9
1102,11,L3_MOEA,3,1,11,1102,,,銀行存款,,ASSET,GENERAL,NORMAL,1102,銀行存款,FALSE,D,TRUE,TRUE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",MOEA 1102,10
11021,1102,L4_PARENT,4,1,11,1102,11021,,銀行存款,,ASSET,GENERAL,NORMAL,1102,銀行存款,FALSE,D,TRUE,FALSE,"[""BANK""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",母科：依銀行+帳號分子科,11
1102101,11021,L5_DETAIL,5,1,11,1102,11021,1102101,銀行存款－台幣活存（主要）,,ASSET,GENERAL,NORMAL,1102,銀行存款,TRUE,D,TRUE,FALSE,"[""BANK""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",客戶可改：銀行+帳號末四碼,12
1102102,11021,L5_DETAIL,5,1,11,1102,11021,1102102,銀行存款－台幣活存（薪轉）,,ASSET,GENERAL,NORMAL,1102,銀行存款,TRUE,D,TRUE,FALSE,"[""BANK""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,13
1102103,11021,L5_DETAIL,5,1,11,1102,11021,1102103,銀行存款－台幣支存,,ASSET,GENERAL,NORMAL,1102,銀行存款,TRUE,D,TRUE,FALSE,"[""BANK""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",支票存款戶,14
1102104,11021,L5_DETAIL,5,1,11,1102,11021,1102104,銀行存款－台幣定存,,ASSET,GENERAL,NORMAL,1102,銀行存款,TRUE,D,TRUE,FALSE,"[""BANK""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,15
1102105,11021,L5_DETAIL,5,1,11,1102,11021,1102105,銀行存款－車輛融資專戶,,ASSET,VEHICLE_INV,NORMAL,1102,銀行存款,TRUE,D,TRUE,FALSE,"[""BANK""]","{""kpi_role"": ""vehicle_inventory""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",Floor Plan 還款專戶,16
1102106,11021,L5_DETAIL,5,1,11,1102,11021,1102106,銀行存款－代收款專戶,,ASSET,VEHICLE_SALES,NORMAL,1102,銀行存款,TRUE,D,FALSE,FALSE,"[""BANK""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""MIXED""]",代收規費/牌稅獨立帳戶（建議開立）,17
1102107,11021,L5_DETAIL,5,1,11,1102,11021,1102107,銀行存款－外幣（USD）,,ASSET,GENERAL,NORMAL,1102,銀行存款,TRUE,D,FALSE,FALSE,"[""BANK""]",{},FALSE,"[""MIXED""]",進口車商需開,18
1102108,11021,L5_DETAIL,5,1,11,1102,11021,1102108,銀行存款－外幣（JPY）,,ASSET,GENERAL,NORMAL,1102,銀行存款,TRUE,D,FALSE,FALSE,"[""BANK""]",{},FALSE,"[""MIXED""]",日系進口,19
1102109,11021,L5_DETAIL,5,1,11,1102,11021,1102109,銀行存款－外幣（EUR）,,ASSET,GENERAL,NORMAL,1102,銀行存款,TRUE,D,FALSE,FALSE,"[""BANK""]",{},FALSE,"[""MIXED""]",歐系進口,20
1103,11,L3_MOEA,3,1,11,1103,,,零用金,,ASSET,GENERAL,NORMAL,1103,零用金,FALSE,D,TRUE,TRUE,[],{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",MOEA 1103,21
11031,1103,L4_PARENT,4,1,11,1103,11031,,零用金,,ASSET,GENERAL,NORMAL,1103,零用金,FALSE,D,TRUE,FALSE,"[""DEPT""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",母科：依部門分子科,22
1103101,11031,L5_DETAIL,5,1,11,1103,11031,1103101,零用金－總務,,ASSET,GENERAL,NORMAL,1103,零用金,TRUE,D,TRUE,FALSE,"[""DEPT""]",{},FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,23
1103102,11031,L5_DETAIL,5,1,11,1103,11031,1103102,零用金－業務部,,ASSET,VEHICLE_SALES,NORMAL,1103,零用金,TRUE,D,TRUE,FALSE,"[""DEPT""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""MOTORCYCLE""]",,24
1103103,11031,L5_DETAIL,5,1,11,1103,11031,1103103,零用金－維修廠,,ASSET,SERVICE,NORMAL,1103,零用金,TRUE,D,TRUE,FALSE,"[""DEPT""]","{""profit_attribution"": ""service_margin""}",FALSE,"[""NEW_CAR"", ""USED_CAR"", ""MIXED"", ""SERVICE_ONLY"", ""MOTORCYCLE""]",,25
1103104,11031,L5_DETAIL,5,1,11,1103,11031,1103104,零用金－中古車部,,ASSET,VEHICLE_SALES,NORMAL,1103,零用金,TRUE,D,FALSE,FALSE,"[""DEPT""]","{""profit_attribution"": ""vehicle_margin""}",FALSE,"[""MIXED""]",,26
